2022-23,Agroecology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Environmental-Studies/Agroecology-BA
Plan One for Incoming Frosh
,Fall,Winter,Spring
1st (frosh),"MATH 3 or
AM 3",SOCY/ANTH/ethics course,"ENVS 23 or
CHEM 1A"
1st (frosh),ENVS 80F,ENVS 25,
1st (frosh),,,
2nd (soph),"ENVS 24 or
BIOE 20C",ENVS 100 & ENVS 100L*,Upper-division elective
2nd (soph),STAT 7 & STAT 7L,,"ENVS 83 or
ENVS 184 or
ENVS 199F"
2nd (soph),,,
3rd (junior),ENVS 130A & ENVS 130L,ENVS 130B,"ENVS 130C or
ENVS 133"
3rd (junior),,"ENVS 133 or
ENVS 135",
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective
4th (senior),,,Comprehensive requirement
Plan Two for Incoming Transfer Students
,Fall,Winter,Spring
3rd (junior),STAT 7 & STAT 7L,ENVS 100 & ENVS 100L*,"ENVS 130C or
ENVS 133"
3rd (junior),ENVS 80F,ENVS 130B,Upper-division elective
3rd (junior),"ENVS 83 or
ENVS 184 or
ENVS 199F",,
4th (senior),ENVS 130A & ENVS 130L,"ENVS 133 or
ENVS 135",ENVS 130C
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective
2022-23,Anthropology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Anthropology/Anthropology-BA
Four-Year Plan
Year,Fall,Winter,Spring
1st (frosh),ANTH 1,ANTH 2,ANTH 3
1st (frosh),,,
1st (frosh),,,
2nd (soph),Bio/Med/Env,Sociocultural,Archaeology
2nd (soph),,,
2nd (soph),,,
3rd (junior),Theory,Regional,Upper-division elective
3rd (junior),,,Upper-division elective
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*
Senior Seminar*,,,
Two-Year Plan
Year,Fall,Winter,Spring
3rd (junior),Theory,Regional,Archaeology
3rd (junior),Upper-division elective,Sociocultural,Bio/Med/Env
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*
Senior Seminar*,Upper-division elective,,
2022-23,Applied Linguistics and Multilingualism B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Humanities-Division/Languages-and-Applied-Linguistics/Applied-Linguistics-and-Multilingualism-BA
Four-Year Planner
Year,Fall,Winter,Spring
1st (frosh),Language 1,Language 2,Language 3
1st (frosh),,,
1st (frosh),,,
2nd (soph),Language 4,Language 5,Language 6
2nd (soph),,,
2nd (soph),,,
3rd (junior),APLX 80,APLX 101,LING 111 or LING 112
3rd (junior),LING 50,LING 100 or 101,APLX elective
3rd (junior),,,
4th (senior),Adv Language course,Adv Language course,APLX 190
4th (senior),APLX elective,APLX elective,Non-APLX elective
Transfer Planner
Year,Fall,Winter,Spring
1st (junior),APLX 80,APLX 101,LING 111 or LING 112
1st (junior),LING 50,LING 100 or 101,APLX elective
1st (junior),Language 4,Language 5,Language 6
2nd (senior),Adv Language course,Adv Language course,APLX 190
2nd (senior),APLX elective,APLX elective,Non-APLX elective
2022-23,Applied Mathematics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Applied-Mathematics/Applied-Mathematics-BS
,Fall,Winter,Spring
1st Year,MATH 19A,CSE 20,AM 20
1st Year,AM 10,Lower div elective,CSE 16
1st Year,,MATH 19B,
2nd Year,AM 30,,STAT 131
2nd Year,,Lower-div elective,
2nd Year,,,
3rd Year,AM 100,AM 170A,Upper-div elective
3rd Year,AM 114,AM 112,
3rd Year,Upper-div elective,,
4th Year,AM 129,AM 147,AM 170B
,Fall,Winter,Spring
1st Year,MATH 2,MATH 3,MATH 19A
1st Year,,Lower div elective,Lower div elective
1st Year,,,
2nd Year,AM 10,AM 20,AM 30
2nd Year,MATH 19B,CSE 20,CSE 16
2nd Year,,,
3rd Year,AM 100,AM 112,
3rd Year,AM 114,STAT 131,Upper-div elective
3rd Year,Upper-div elective,,
4th Year,AM 129,AM 147,AM 170B
,Fall,Winter,Spring
Junior Year,CSE 20,AM 112,Upper-div elective
Junior Year,AM 100,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,
Senior Year,AM 114,AM 170A,AM 170B
Senior Year,AM 129,AM 147,
,Fall,Winter,Spring
Junior Year,CSE 20,AM 212A,Upper-div elective
Junior Year,AM 100,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,
Senior Year,AM 129,AM 147,AM 170B
Senior Year,AM 214,AM 170A,Upper-div elective
Senior Year,Upper-div elective,,
M.S. Year,M.S. elective,AM 213A,AM 213B
M.S. Year,M.S. elective,,AM 250
2022-23,Applied Physics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Physics/Applied-Physics-BS
Plan 1: For students who place into MATH 19A or MATH 20A.
,Fall,Winter,Spring
1st (frosh),"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1st (frosh),,,PHYS 5B & PHYS 5M
1st (frosh),,PHYS 5A & PHYS 5L*,CHEM 1A or CHEM 1B
2nd (soph),PHYS 5C & PHYS 5N,ASTR 119,PHYS 105
2nd (soph),PHYS 5D,PHYS 116A,PHYS 116C
2nd (soph),MATH 23B,,
3rd (junior),PHYS 102,PHYS 110B,PHYS 134
3rd (junior),PHYS 110A,PHYS 112,Elective
3rd (junior),PHYS 133,,
4th (senior),Elective,PHYS 182**,Elective
4th (senior),,,
Applied Physics B.S.: Transfer Academic Plan One
,Fall,Winter,Spring
1st (junior),MATH 23B,PHYS 133,PHYS 105
1st (junior),PHYS 102,PHYS 116A,PHYS 116C
1st (junior),ASTR 119,Elective,
2nd (senior),PHYS 110A,PHYS 110B,PHYS 134
2nd (senior),CHEM 1A or CHEM 1B,PHYS 112,Elective
Applied Physics B.S.: Transfer Academic Plan Two
,Fall,Winter,Spring
1st Year,MATH 23B,PHYS 102,PHYS 105
1st Year,PHYS 5D,Elective,PHYS 133
1st Year,ASTR 119,PHYS 116A,PHYS 116C
2nd Year,PHYS 110A,PHYS 110B,Elective
2nd Year,CHEM 1A or CHEM 1B,PHYS 112,PHYS 182*
Plan 1: For students who place into MATH 19A or MATH 20A.
,Fall,Winter,Spring
1st (frosh),"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1st (frosh),,,PHYS 5B & PHYS 5M
1st (frosh),,PHYS 5A & PHYS 5L*,
2nd (soph),PHYS 5C & PHYS 5N,,PHYS 105
2nd (soph),PHYS 5D,CSE 20,PHYS 116C
2nd (soph),MATH 23B,PHYS 116A,CSE 30
3rd (junior),PHYS 102,PHYS 112,STAT 131
3rd (junior),PHYS 110A,,
3rd (junior),,,
4th (senior),PHYS 182**,PHYS 115,Elective
4th (senior),Elective,Elective,
Computational Physics Concentration: Transfer Academic Plan One
,Fall,Winter,Spring
1st (junior),MATH 23B,CSE 20,PHYS 105
1st (junior),PHYS 102,PHYS 116A,PHYS 116C
1st (junior),,,CSE 30
2nd (senior),PHYS 110A,PHYS 115,STAT 131
2nd (senior),PHYS 182*,PHYS 112,Elective
Computational Physics Concentration: Transfer Academic Plan Two
,Fall,Winter,Spring
1st Year,MATH 23B,PHYS 102,PHYS 105
1st Year,PHYS 5D,CSE 20,CSE 30
1st Year,,PHYS 116A,PHYS 116C
2nd Year,PHYS 110A,PHYS 115,Elective
2nd Year,PHYS 182*,PHYS 112,STAT 131
2022-23,Art & Design: Games + Playable Media B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Arts-Division/Performance-Play-and-Design/Art-and-Design-Games-and-Playable-Media-BA
Transfer Students Planner
,Fall,Winter,Spring,Summer
1st (junior),ARTG 80I,Upper-division elective 1,ARTG 120*,
1st (junior),HAVC Elective,FILM 80V,Upper-division elective 2,
1st (junior),ART 80G,,,
1st (junior),,,,
2nd (senior),ARTG 170,ARTG 171,ARTG 172,
2nd (senior),Upper-division elective 3,Upper-division elective 5,Upper-division elective 6,
2022-23,Art B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Arts-Division/Art/Art-BA
Art Major Planner (Incoming Frosh)
The following is a recommended academic plan for students to complete:
Year,Fall,Winter,Spring
1st (frosh),ART 10E,ART 10D,ART 10F
1st (frosh),,,
1st (frosh),,,
2nd (soph),ART 20 series,ART 20 series,ART 20 series
2nd (soph),HAVC*,ART 80T,HAVC*
2nd (soph),,,
3rd (junior),UD studio,ART 190A,UD Studio
3rd (junior),,UD studio,
3rd (junior),,,
4th (senior),UD studio,UD studio,UD studio or ART 190B
4th (senior),UD studio,,
Art Major Planner (Junior Transfers)
Year,Fall,Winter,Spring
1st (junior),UD studio,ART 190A,UD studio
1st (junior),ART 10 Series�,ART 80T,HAVC*
1st (junior),,,
2nd (senior),UD studio,UD studio,UD studio
2nd (senior),HAVC*,UD studio,UD studio or ART 190B
2022-23,Biochemistry and Molecular Biology B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Biochemistry-and-Molecular-Biology-BS
Sample Four-Year Planner
,Fall,Winter,Spring
1st (frosh),"MATH 11A
            or MATH 19A","MATH 11B
            or MATH 19B",BIOL 20A
1st (frosh),"CHEM 1B & CHEM 1M or  
CHEM 1A  or
CHEM 4A and CHEM 1M","CHEM 1A or
CHEM 1B & CHEM 1M or   
CHEM 4B & CHEM 1N","CHEM 1C & CHEM 1N
            (not required if CHEM 4 series completed)"
1st (frosh),,,
2nd (soph),BIOE 20B,PHYS 6A & PHYS 6L,PHYS 6B and PHYS 6M
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,BIOL 20L*
2nd (soph),,,
3rd (junior),BIOC 100A,BIOC 100B,BIOC 100C
3rd (junior),PHYS 6C & PHYS 6N,BIOL 105,BIOL 101L**
3rd (junior),,*MATH 22 (optional),
4th (senior),BIOL 110,BIOC 163A***,BIOC 163B***
Sample Transfer Two-Year Planner
Sample Transfer Two-Year Planner
,Fall,Winter,Spring
1st (junior),BIOC 100A,BIOC 100B,BIOC 100C
1st (junior),PHYS 6A & PHYS 6L,BIOL 105,BIOL 101L
1st (junior),,PHYS 6B & PHYS 6M,PHYS 6C and PHYS 6N
2nd (senior),BIOL 110,BIOC 163A,BIOC 163B
2nd (senior),"STAT 5
            or STAT 7 & STAT 7L",BIOL 115,Senior Exit Lab
2022-23,Biology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Ecology-and-Evolutionary-Biology/Biology-BA
Sample Frosh Planner
1st (frosh),BIOE 20C,CHEM 1A,CHEM 1B
1st (frosh),,,STAT 5 or STAT 7 & STAT 7L
1st (frosh),,,
2nd (soph),BIOL 20A,BIOE 20B,BIOL 105
2nd (soph),,PHYS 1,
2nd (soph),,,
3rd (junior),BIOE 109,BIOE 107,Anatomy/Physiology
3rd (junior),Biology elective*,,
3rd (junior),,,
4th (senior),Biology elective*,Biology elective*,Biology elective*
4th (senior),,,
Sample Transfer Planner
,Fall,Winter,Spring
3rd (junior),BIOL 105,BIOE 107,Anatomy/Physiology
3rd (junior),,BIOE 109,STAT 5 or STAT 7 & STAT 7L
3rd (junior),,,
4th (senior),Biology elective*,Biology elective*,Biology elective*
4th (senior),Biology elective*,PHYS 1,
Transfer student sample planner
2022-23,Biology B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Molecular-Cell-and-Developmental-Biology/Biology-BS
Sample Biology B.S. First-Year Student�Four-Year Planner
,Fall,Winter,Spring
1st (frosh),CHEM 1A,CHEM 1B,CHEM 1C & CHEM 1N
1st (frosh),MATH 11A,MATH 11B,BIOL 20A
1st (frosh),,,
2nd (soph),BIOE 20B & BIOL 20L,BIOL 100,BIOL 101 & BIOL 101L
2nd (soph),,CHEM 8B,
2nd (soph),CHEM 8A & CHEM 8L,,BIOL 105
3rd (junior),BIOL 110,BIOE 107,BIOE 109
3rd (junior),BIOE 20C,PHYS 6A & PHYS 6L,PHYS 6B OR PHYS 6C
3rd (junior),,,
4th (senior),,"STAT 5 OR
STAT 7 & STAT 7L",Laboratory
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective
Sample Biology B.S. Transfer Two-Year Planner
,Fall,Winter,Spring
3rd (junior),BIOL 105,BIOL 100,BIOL 101 & BIOL 101L
3rd (junior),BIOE 107,PHYS 6A & PHYS 6L,PHYS 6B or PHYS 6C
3rd (junior),,,
4th(senior),BIOL 110,Upper-division elective,Upper-division elective
4th(senior),BIOE 109,Laboratory,Upper-division elective
2022-23,Biomolecular Engineering and Bioinformatics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Biomolecular-Engineering/Biomolecular-Engineering-and-Bioinformatics-BS
Sample Plan:  Biomolecular  Engineering Concentration
Year,Fall,Winter,Spring
1st (frosh),CHEM 1A,MATH 19B,AM 10
