2023-24,Agroecology B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/social-sciences-division/environmental-studies/agroecology-ba
Plan One for Incoming Frosh
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),"MATH 3 or
AM 3",SOCY/ANTH/PHIL course,ENVS 23,
1st (frosh),ENVS 80F,ENVS 25,,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
2nd (soph),"ENVS 24 or
BIOE 20C",ENVS 100 & ENVS 100L*,Upper-division elective,
2nd (soph),STAT 7 & STAT 7L,,"ENVS 83 or
ENVS 84 or
ENVS 199F",
2nd (soph),WRIT 2**,,,
3rd (junior),ENVS 130A & ENVS 130L,ENVS 130B,"ENVS 130C or
ENVS 133",
3rd (junior),,"ENVS 133 or
ENVS 135",,
3rd (junior),,,,
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective,
4th (senior),,,Comprehensive requirement,
Plan Two for Incoming Transfer Students
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
3rd (junior),STAT 7 & STAT 7L,ENVS 100 & ENVS 100L*,"ENVS 130C or
ENVS 133",
3rd (junior),ENVS 80F,ENVS 130B,Upper-division elective,
3rd (junior),"ENVS 83 or
ENVS 84 or
ENVS 199F",,,
4th (senior),ENVS 130A & ENVS 130L,"ENVS 133 or
ENVS 135",ENVS 130C,
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective,
2023-24,Anthropology B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/social-sciences-division/anthropology/anthropology-ba
Four-Year Plan
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),ANTH 1,ANTH 2,ANTH 3,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
1st (frosh),,,,
2nd (soph),Bio/Med/Env,Sociocultural,Archaeology,
2nd (soph),WRIT 2**,,,
2nd (soph),,,,
3rd (junior),Theory,Regional,Upper-division elective,
3rd (junior),,,Upper-division elective,
3rd (junior),,,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*,
Senior Seminar*,,,,
Two-Year Plan
Year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
3rd (junior),Theory,Regional,Archaeology,
3rd (junior),Upper-division elective,Sociocultural,Bio/Med/Env,
3rd (junior),,,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*,
Senior Seminar*,Upper-division elective,,,
2023-24,Applied Linguistics and Multilingualism B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/humanities-division/languages-and-applied-linguistics/applied-linguistics-and-multilingualism-ba
Four-Year Planner
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),Language 1,Language 2,Language 3,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
1st (frosh),,,,
2nd (soph),Language 4,Language 5,Language 6,
2nd (soph),WRIT 2*,,,
2nd (soph),,,,
3rd (junior),APLX 80,APLX 101,LING 111 or LING 112,
3rd (junior),LING 50,LING 100 or 101,APLX elective,
3rd (junior),,,,
4th (senior),Adv Language course,Adv Language course,APLX 190,
4th (senior),APLX elective,APLX elective,Non-APLX elective,
Transfer Planner
Year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),APLX 80,APLX 101,LING 111 or LING 112,
1st (junior),LING 50,LING 100 or 101,APLX elective,
1st (junior),Language 4,Language 5,Language 6,
2nd (senior),Adv Language course,Adv Language course,APLX 190,
2nd (senior),APLX elective,APLX elective,Non-APLX elective,
2023-24,Applied Mathematics B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/baskin-engineering/applied-mathematics/applied-mathematics-bs
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st Year,MATH 19A,CSE 20,AM 20,
1st Year,AM 10,MATH 19B,CSE 16,
1st Year,College 1,WRIT 1/WRIT 1E (if needed),Lower div elective,
1st Year,,,,
2nd Year,AM 30,Lower-div elective,STAT 131,
2nd Year,WRIT 2*,Lower-div elective,,
2nd Year,,,,
3rd Year,AM 100,AM 170A,Upper-div elective,
3rd Year,AM 114,Upper-div elective,,
3rd Year,,,,
4th Year,AM 129,AM 147,AM 170B,
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st Year,MATH 2,MATH 3,MATH 19A,
1st Year,,Lower-div elective,Lower-div elective,
1st Year,,WRIT 1/WRIT 1E (if needed),,
2nd Year,AM 10,AM 20,AM 30,
2nd Year,MATH 19B,CSE 20,CSE 16,
2nd Year,WRIT 2*,,,
3rd Year,AM 100,AM 147,STAT 131,
3rd Year,,Upper-div elective,Upper-div elective,
3rd Year,,,,
4th Year,AM 129,AM 112,AM 170B,
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
Junior Year,CSE 20,AM 147,STAT 131,
Junior Year,AM 100,Lower-div elective,Upper-div elective,
Junior Year,Lower-div elective,CSE16,,
Senior Year,AM 114,AM 170A,AM 170B,
Senior Year,AM 129,AM 112,Upper-div elective,
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
Junior Year,CSE 20,AM 147,Upper-div elective,
Junior Year,AM 100,CSE16,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,Upper-div elective,
Senior Year,AM 129,AM 212A,AM 170B,
Senior Year,AM 214,AM 170A,Upper-div elective,
Senior Year,,,,
M.S. Year,M.S. elective,AM 213A,AM 213B,
M.S. Year,Indep Study,Indep Study,AM 250,
