2022-23,Agroecology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Environmental-Studies/Agroecology-BA
Planner: Agroecology B.A. Planner 1
1,"MATH 3 or
AM 3",SOCY/ANTH/ethics course,"ENVS 23 or
CHEM 1A"
1,ENVS 80F,ENVS 25,
1,,,
2,"ENVS 24 or
BIOE 20C",ENVS 100 & ENVS 100L*,Upper-division elective
2,STAT 7 & STAT 7L,,"ENVS 83 or
ENVS 184 or
ENVS 199F"
2,,,
3,ENVS 130A & ENVS 130L,ENVS 130B,"ENVS 130C or
ENVS 133"
3,,"ENVS 133 or
ENVS 135",
3,,,
4,Upper-division elective,Upper-division elective,Upper-division elective
4,,,Comprehensive requirement
Planner: Agroecology B.A. Planner 2
3,STAT 7 & STAT 7L,ENVS 100 & ENVS 100L*,"ENVS 130C or
ENVS 133"
3,ENVS 80F,ENVS 130B,Upper-division elective
3,"ENVS 83 or
ENVS 184 or
ENVS 199F",,
4,ENVS 130A & ENVS 130L,"ENVS 133 or
ENVS 135",ENVS 130C
4,Upper-division elective,Upper-division elective,Upper-division elective
2022-23,Anthropology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Anthropology/Anthropology-BA
Planner: Anthropology B.A. Planner 1
1,ANTH 1,ANTH 2,ANTH 3
1,,,
1,,,
2,Bio/Med/Env,Sociocultural,Archaeology
2,,,
2,,,
3,Theory,Regional,Upper-division elective
3,,,Upper-division elective
3,,,
4,Upper-division elective,Upper-division elective,Senior Seminar*
Planner: Anthropology B.A. Planner 2
3,Theory,Regional,Archaeology
3,Upper-division elective,Sociocultural,Bio/Med/Env
3,,,
4,Upper-division elective,Upper-division elective,Senior Seminar*
2022-23,Applied Linguistics and Multilingualism B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Humanities-Division/Languages-and-Applied-Linguistics/Applied-Linguistics-and-Multilingualism-BA
Planner: Applied Linguistics and Multilingualism B.A. Planner 1
1,Language 1,Language 2,Language 3
1,,,
1,,,
2,Language 4,Language 5,Language 6
2,,,
2,,,
3,APLX 80,APLX 101,LING 111 or LING 112
3,LING 50,LING 100 or 101,APLX elective
3,,,
4,Adv Language course,Adv Language course,APLX 190
4,APLX elective,APLX elective,Non-APLX elective
Planner: Applied Linguistics and Multilingualism B.A. Planner 2
1,APLX 80,APLX 101,LING 111 or LING 112
1,LING 50,LING 100 or 101,APLX elective
1,Language 4,Language 5,Language 6
2,Adv Language course,Adv Language course,APLX 190
2,APLX elective,APLX elective,Non-APLX elective
2022-23,Applied Mathematics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Applied-Mathematics/Applied-Mathematics-BS
Planner: Applied Mathematics B.S. Planner 1
1,MATH 19A,CSE 20,AM 20
1,AM 10,Lower div elective,CSE 16
1,,MATH 19B,
2,AM 30,,STAT 131
2,,Lower-div elective,
2,,,
3,AM 100,AM 170A,Upper-div elective
3,AM 114,AM 112,
3,Upper-div elective,,
4,AM 129,AM 147,AM 170B
Planner: Applied Mathematics B.S. Planner 2
1,MATH 2,MATH 3,MATH 19A
1,,Lower div elective,Lower div elective
1,,,
2,AM 10,AM 20,AM 30
2,MATH 19B,CSE 20,CSE 16
2,,,
3,AM 100,AM 112,
3,AM 114,STAT 131,Upper-div elective
3,Upper-div elective,,
4,AM 129,AM 147,AM 170B
2022-23,Applied Physics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Physics/Applied-Physics-BS
Planner: Applied Physics B.S. Planner 1
1,"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1,,,PHYS 5B & PHYS 5M
1,,PHYS 5A & PHYS 5L*,CHEM 1A or CHEM 1B
2,PHYS 5C & PHYS 5N,ASTR 119,PHYS 105
2,PHYS 5D,PHYS 116A,PHYS 116C
2,MATH 23B,,
3,PHYS 102,PHYS 110B,PHYS 134
3,PHYS 110A,PHYS 112,Elective
3,PHYS 133,,
4,Elective,PHYS 182**,Elective
4,,,
Planner: Applied Physics B.S. Planner 2
1,MATH 23B,PHYS 133,PHYS 105
1,PHYS 102,PHYS 116A,PHYS 116C
1,ASTR 119,Elective,
2,PHYS 110A,PHYS 110B,PHYS 134
2,CHEM 1A or CHEM 1B,PHYS 112,Elective
Planner: Applied Physics B.S. Planner 3
1,MATH 23B,PHYS 102,PHYS 105
1,PHYS 5D,Elective,PHYS 133
1,ASTR 119,PHYS 116A,PHYS 116C
2,PHYS 110A,PHYS 110B,Elective
2,CHEM 1A or CHEM 1B,PHYS 112,PHYS 182*
Planner: Applied Physics B.S. Planner 4
1,"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1,,,PHYS 5B & PHYS 5M
1,,PHYS 5A & PHYS 5L*,
2,PHYS 5C & PHYS 5N,,PHYS 105
2,PHYS 5D,CSE 20,PHYS 116C
2,MATH 23B,PHYS 116A,CSE 30
3,PHYS 102,PHYS 112,STAT 131
3,PHYS 110A,,
3,,,
4,PHYS 182**,PHYS 115,Elective
4,Elective,Elective,
Planner: Applied Physics B.S. Planner 5
1,MATH 23B,CSE 20,PHYS 105
1,PHYS 102,PHYS 116A,PHYS 116C
1,,,CSE 30
2,PHYS 110A,PHYS 115,STAT 131
2,PHYS 182*,PHYS 112,Elective
Planner: Applied Physics B.S. Planner 6
1,MATH 23B,PHYS 102,PHYS 105
1,PHYS 5D,CSE 20,CSE 30
1,,PHYS 116A,PHYS 116C
2,PHYS 110A,PHYS 115,Elective
2,PHYS 182*,PHYS 112,STAT 131
2022-23,Art & Design: Games + Playable Media B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Arts-Division/Performance-Play-and-Design/Art-and-Design-Games-and-Playable-Media-BA
Planner: Art & Design: Games + Playable Media B.A. Planner 1
1,ARTG 80I,FILM 80V,"Lower-division
                        arts elective**",1st (frosh)
1,,1st (frosh),ARTG 80G,
1,,1st (frosh),,
1,,2nd (soph),HAVC elective,
2,2nd (soph),ARTG 120*,,2nd (soph)
2,,,,2nd (soph)
2,,,,3rd (junior)
3,Upper-division elective 3,,,3rd (junior)
3,Upper-division elective 4,,,3rd (junior)
3,,,,4th (senior)
4,ARTG 171,ARTG 172,,4th (senior)
4,Upper-division elective 6,,,4th (senior)
Planner: Art & Design: Games + Playable Media B.A. Planner 2
1,ARTG 80I,Upper-division elective 1,ARTG 120*,
1,HAVC Elective,FILM 80V,Upper-division elective 2,
1,ART 80G,,,
1,,,,
2,ARTG 170,ARTG 171,ARTG 172,
2,Upper-division elective 3,Upper-division elective 5,Upper-division elective 6,
2022-23,Art B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Arts-Division/Art/Art-BA
Planner: Art B.A. Planner 1
1,ART 10E,ART 10D,ART 10F
1,,,
1,,,
2,ART 20 series,ART 20 series,ART 20 series
2,HAVC*,ART 80T,HAVC*
2,,,
3,UD studio,ART 190A,UD Studio
3,,UD studio,
3,,,
4,UD studio,UD studio,UD studio or ART 190B
4,UD studio,,
Planner: Art B.A. Planner 2
1,UD studio,ART 190A,UD studio
1,ART 10 Series†,ART 80T,HAVC*
1,,,
2,UD studio,UD studio,UD studio
2,HAVC*,UD studio,UD studio or ART 190B
